size of the array,time of ArrayStack,time of LinkedListStack
893,83.0,125.0
894,41.0,125.0
895,83.0,83.0
896,291.0,500.0
897,83.0,167.0
898,41.0,125.0
899,83.0,125.0
900,83.0,125.0
901,42.0,125.0
902,83.0,125.0
903,84.0,125.0
904,83.0,125.0
905,83.0,125.0
906,83.0,125.0
907,42.0,125.0
908,83.0,125.0
909,41.0,125.0
910,84.0,125.0
911,41.0,125.0
912,42.0,125.0
913,83.0,125.0
914,42.0,125.0
915,42.0,125.0
916,41.0,125.0
917,83.0,125.0
918,83.0,125.0
919,42.0,125.0
920,41.0,125.0
921,83.0,125.0
922,42.0,125.0
923,83.0,125.0
924,84.0,125.0
925,42.0,125.0
926,83.0,83.0
927,41.0,83.0
928,83.0,125.0
929,83.0,125.0
930,42.0,125.0
931,41.0,125.0
932,41.0,125.0
933,83.0,125.0
934,84.0,125.0
935,42.0,83.0
936,83.0,125.0
937,42.0,125.0
938,84.0,83.0
939,42.0,125.0
940,83.0,83.0
941,42.0,125.0
942,84.0,125.0
943,83.0,125.0
944,42.0,125.0
945,83.0,125.0
946,42.0,125.0
947,83.0,125.0
948,83.0,84.0
949,42.0,83.0
950,41.0,125.0
951,42.0,84.0
952,83.0,83.0
953,83.0,125.0
954,42.0,125.0
955,83.0,125.0
956,84.0,125.0
957,41.0,167.0
958,125.0,125.0
959,42.0,125.0
960,83.0,125.0
961,83.0,84.0
962,41.0,83.0
963,83.0,125.0
964,83.0,125.0
965,83.0,125.0
966,83.0,83.0
967,42.0,125.0
968,83.0,125.0
969,84.0,125.0
970,41.0,125.0
971,84.0,83.0
972,125.0,125.0
973,83.0,125.0
974,42.0,125.0
975,83.0,125.0
976,84.0,125.0
977,42.0,125.0
978,83.0,125.0
979,83.0,125.0
980,83.0,125.0
981,83.0,125.0
982,83.0,125.0
983,83.0,125.0
984,83.0,125.0
985,41.0,125.0
986,83.0,125.0
987,84.0,125.0
988,83.0,125.0
989,83.0,125.0
990,83.0,125.0
991,42.0,125.0
992,125.0,125.0
993,42.0,125.0
994,84.0,125.0
995,42.0,125.0
996,125.0,125.0
997,83.0,125.0
998,84.0,125.0
999,84.0,125.0
1000,41.0,125.0
1001,84.0,125.0
1002,125.0,125.0
1003,125.0,125.0
1004,84.0,125.0
1005,42.0,125.0
1006,42.0,125.0
1007,42.0,125.0
1008,83.0,83.0
1009,84.0,84.0
1010,41.0,125.0
1011,42.0,125.0
1012,83.0,125.0
1013,42.0,125.0
1014,42.0,83.0
1015,83.0,125.0
1016,41.0,83.0
1017,41.0,83.0
1018,83.0,125.0
1019,42.0,84.0
1020,84.0,125.0
1021,42.0,125.0
1022,42.0,83.0
1023,83.0,500.0
1024,583.0,5834.0
1025,291.0,208.0
1026,42.0,125.0
1027,41.0,125.0
1028,83.0,125.0
1029,83.0,125.0
1030,83.0,125.0
1031,83.0,125.0
1032,42.0,125.0
1033,83.0,84.0
1034,42.0,125.0
1035,83.0,125.0
1036,42.0,125.0
1037,41.0,125.0
1038,41.0,125.0
1039,42.0,125.0
1040,42.0,83.0
1041,83.0,125.0
1042,42.0,83.0
1043,84.0,125.0
1044,42.0,125.0
1045,41.0,125.0
1046,83.0,125.0
1047,84.0,83.0
1048,83.0,125.0
1049,83.0,125.0
1050,84.0,125.0
1051,41.0,125.0
1052,84.0,125.0
1053,83.0,83.0
1054,42.0,84.0
1055,42.0,166.0
1056,83.0,125.0
1057,42.0,125.0
1058,42.0,125.0
1059,41.0,83.0
1060,375.0,166.0
1061,42.0,84.0
1062,41.0,83.0
1063,42.0,125.0
1064,41.0,125.0
1065,42.0,125.0
1066,0.0,83.0
1067,42.0,83.0
1068,41.0,125.0
1069,41.0,125.0
1070,42.0,125.0
1071,41.0,83.0
1072,42.0,125.0
1073,42.0,125.0
1074,42.0,125.0
1075,41.0,125.0
1076,41.0,125.0
1077,42.0,125.0
1078,41.0,125.0
1079,41.0,125.0
1080,42.0,83.0
1081,42.0,83.0
1082,42.0,125.0
1083,41.0,125.0
1084,42.0,83.0
1085,41.0,125.0
1086,42.0,125.0
1087,42.0,125.0
1088,41.0,125.0
1089,42.0,125.0
1090,42.0,125.0
1091,42.0,125.0
1092,0.0,125.0
1093,42.0,84.0
1094,42.0,125.0
1095,42.0,125.0
1096,42.0,125.0
1097,0.0,125.0
1098,42.0,125.0
1099,42.0,125.0
1100,42.0,125.0
1101,42.0,125.0
1102,42.0,84.0
1103,42.0,125.0
1104,42.0,125.0
1105,41.0,83.0
1106,42.0,125.0
1107,1083.0,83.0
1108,42.0,125.0
1109,41.0,125.0
1110,41.0,125.0
1111,83.0,84.0
1112,42.0,125.0
1113,0.0,125.0
1114,42.0,125.0
1115,0.0,125.0
1116,0.0,83.0
1117,42.0,125.0
1118,41.0,125.0
1119,42.0,125.0
1120,84.0,125.0
1121,42.0,125.0
1122,42.0,125.0
1123,42.0,125.0
1124,42.0,125.0
1125,41.0,84.0
1126,42.0,125.0
1127,42.0,125.0
1128,0.0,125.0
1129,42.0,125.0
1130,41.0,125.0
1131,42.0,83.0
1132,0.0,125.0
1133,41.0,125.0
1134,83.0,125.0
1135,42.0,125.0
1136,42.0,125.0
1137,41.0,125.0
1138,42.0,125.0
1139,42.0,125.0
1140,42.0,125.0
1141,41.0,125.0
1142,42.0,83.0
